id,special,date,time,알라딘,지니,자스민,술탄,자파,밥칵
226,,05/27(화),19:30,서경수,강홍석,민경아,이상준,임별,양병철
227,,05/28(수),19:30,박강현,정원영,이성경,이상준,윤선용,방보용
228,,05/29(목),19:30,김준수,정성화,최지혜,황만익,윤선용,방보용
229,,05/30(금),14:30,박강현,강홍석,민경아,황만익,임별,양병철
230,,05/30(금),19:30,서경수,정성화,민경아,황만익,임별,양병철
231,,05/31(토),14:00,박강현,정원영,최지혜,이상준,윤선용,방보용
232,,05/31(토),19:00,김준수,강홍석,최지혜,이상준,윤선용,방보용
233,,06/01(일),15:00,서경수,정성화,이성경,이상준,임별,양병철
234,,06/03(화),19:30,서경수,강홍석,최지혜,이상준,윤선용,방보용
235,,06/04(수),14:30,김준수,정성화,이성경,황만익,임별,양병철
236,,06/04(수),19:30,서경수,정원영,이성경,황만익,임별,양병철
237,,06/05(목),19:30,박강현,정원영,민경아,황만익,윤선용,방보용
238,,06/06(금),14:00,서경수,강홍석,최지혜,이상준,임별,양병철
239,,06/06(금),19:00,박강현,정성화,최지혜,이상준,임별,양병철
240,,06/07(토),14:00,김준수,강홍석,민경아,황만익,윤선용,방보용
241,,06/07(토),19:00,서경수,정성화,민경아,황만익,윤선용,방보용
242,,06/08(일),15:00,박강현,정원영,이성경,이상준,임별,양병철
243,,06/10(화),19:30,김준수,강홍석,이성경,황만익,윤선용,양병철
244,,06/11(수),14:30,서경수,정원영,최지혜,이상준,윤선용,방보용
245,,06/11(수),19:30,박강현,정성화,최지혜,황만익,윤선용,양병철
246,,06/12(목),19:30,서경수,강홍석,이성경,황만익,임별,방보용
247,,06/13(금),14:30,서경수,정성화,민경아,이상준,임별,양병철
248,,06/13(금),19:30,박강현,정원영,민경아,이상준,임별,양병철
249,,06/14(토),14:00,서경수,강홍석,최지혜,황만익,윤선용,방보용
250,,06/14(토),19:00,서경수,정원영,최지혜,황만익,윤선용,방보용
251,,06/15(일),15:00,서경수,정성화,민경아,이상준,임별,양병철
252,,06/17(화),19:30,서경수,강홍석,최지혜,황만익,임별,방보용
253,,06/18(수),14:30,김준수,정성화,민경아,황만익,임별,양병철
254,,06/18(수),19:30,서경수,정원영,민경아,이상준,윤선용,양병철
255,,06/19(목),19:30,박강현,정성화,최지혜,황만익,윤선용,방보용
256,,06/20(금),19:30,김준수,강홍석,민경아,이상준,윤선용,방보용
257,,06/21(토),14:00,박강현,정원영,이성경,황만익,임별,방보용
258,막공,06/21(토),19:00,서경수,정성화,이성경,이상준,윤선용,양병철
259,막공,06/22(일),14:00,김준수,정원영,최지혜,이상준,임별,방보용
260,막공,06/22(일),19:00,박강현,강홍석,민경아,황만익,임별,양병철
